硬碰硬	aaaf
躊躇不前	aaaq
止步不前	aaaq
踏步不前	aaaq
蹉跎歲月	aaaw
肯不肯	aaaw
步步高	aacg
步步高昇	aacj
足不出户	aadc
足不出戶	aadd
厦門	aadm
不足爲據	aaef
不足爲憑	aaei
止不住	aaek
不足爲奇	aaeo
不足爲慮	aaep
步步爲營	aaeq
不足爲外人道	aaeq
不足爲怪	aaer
不足爲訓	aaex
不足掛齒	aafa
跌跌撞撞	aaff
歪歪扭扭	aaff
厄爾	aafk
路不拾遺	aafl
石破天驚	aafs
碌碌無爲	aage
碌碌無為	aagk
踢踏舞	aags
厄運	aahb
厄境	aahg
歧路亡羊	aahq
碩士	aahs
踽踽獨行	aaid
不確定	aaif
踏踏實實	aaii
確確實實	aaii
足足有餘	aaik
歷歷在耳	aail
不確定性	aair
百步穿楊	aaiu
歷歷在目	aaiw
碩果	aaju
不足為據	aakf
不足為憑	aaki
不足為奇	aako
不足為慮	aakp
不足為外人道	aakq
步步為營	aakq
不足為怪	aakr
躍躍欲試	aakx
不足為訓	aakx
不足取	aalb
跬步千里	aamv
躡足潛蹤	aana
躊躇滿志	aanh
碩大	aaod
厦大	aaod
百足之蟲死而不僵	aaoe
磕磕絆絆	aaoo
不足之處	aaop
百足之蟲	aaov
不足道	aaqi
歪歪斜斜	aarr
厚此薄彼	aasd
厄難	aasf
磊落	aasn
壓壓驚	aasw
壓歲錢	aatk
踏破鐵鞋無覓處得來全不費功夫	aato
踏破鐵鞋無覓處	aatp
跑跑卡丁車	aaub
磁碟機代號	aaul
壓路機	aaun
跑步機	aaun
不厭其煩	aauq
蹺蹺板	aaur
原原本本	aauu
不厭其詳	aaux
趾甲	aavj
齷齪	abaa
步履蹣跚	abaa
破碎	abac
不屈不撓	abaf
碾壓	abaj
百發百中	abal
磚石	abas
踊躍	abav
踴躍	abav
磚瓦	abaw
破擊	abbd
破車	abbj
破費	abbk
破壁	abbl
肯尼迪	abbo
破皮	abbp
跳蚤市場	abch
磚牆	abdh
不由得	abdj
破圖	abdl
破門	abdm
破關	abdn
破例	abef
破瓜	abeg
破五	abfb
不屑一顧	abfc
破裂	abfh
磚頭	abfl
破損	abfl
破掉	abfp
肯尼亞	abfu
百尺竿頭更進一步	abga
百尺竿頭	abgf
破産	abgg
破音	abgj
破產	abha
破軍	abhb
破壞	abhc
磚塊	abhd
破殼	abhf
不屬於	abhr
破解	abhs
破土	abht
破案	abic
破定	abif
破空	abii
不由自主	abik
破冰	abin
破布	abip
磚窯	abiq
破密	abir
破獲	abis
破題	abjf
破曉	abjh
破罐	abjs
破事	abkl
破戒	abks
不避斧鉞	abkt
不由分説	abkx
不由分說	abkx
跛子	abkz
碾子	abkz
路由器	abll
不費吹灰之力	abls
破口	ablv
百轉千回	abmd
破廟	abmg
磚廠	abmv
齒輪油	abnb
破法	abnh
磚混	abnj
破滅	abnk
破浪	abnk
破洞	abny
破綻	aboi
步履維艱	abos
不登大雅之堂	abov
破網	aboy
破陣	abpb
壓軸戲	abpf
破陋	abpf
破防	abph
破除	abpr
破處	abpt
破爛	abqd
蹬着	abqw
不通人情	abrr
破舊	abse
碎屍萬段	abse
破鞋	absh
蹬著	absh
破落	absn
磚茶	absr
步履艱難	abss
破散	absw
破繭	absy
破鈔	abto
破鑼	abtp
磚木	abum
破格	abut
破相	abuw
破書	abvh
破甲	abvj
跟屁蟲	abvv
磚雕	abwh
破膽	abwh
跛腳	abwk
破財	abwk
蹬腿	abwn
破臉	abwr
破敗	abwt
破譯	abxp
不違農時	abyj
碾平	abyq
不衫不履	acab
碎碎	acac
不亢不卑	acad
碎步	acao
原始碼	acar
碎石	acas
磅礴	acas
母夜叉	acbk
碎屑	acbo
齒輪	acbr
百衲衣	accc
百褶裙	accv
碎片	acdp
硫化	aceu
齒條	aceu
百裏挑一	acff
百裡挑一	acff
碎裂	acfh
不顧死活	acfn
不顧一切	acfx
趾高氣揚	acgf
趾高氣昂	acgj
不好意思	acgv
碎塊	achd
不至於	achr
百姓家	acig
碎冰	acin
齒冷	acir
躋身	acis
原始社會	acjr
磙子	ackz
不適應	acme
孬種	acmm
百媚千紅	acmo
原始積累	acmv
磅秤	acmy
碎末	acnm
碎紙	acok
不到之處	acop
瓦努阿圖	acpd
破衣爛衫	acqc
碎料	acqi
不如人意	acrg
不到黃河心不死	acsf
硫黃	acsi
不好惹	acsi
碎夢	acsp
碎散	acsw
碎銀	actn
齒根	acun
石膏板	acur
原始檔	acuv
碎骨	acxg
硫酸	acyn
碎肉	acyr
不得不發	adab
不卑不亢	adac
不聞不問	adad
憂國憂民	adae
蹤跡	adah
不卽不離	adah
碑碣	adaj
不徐不疾	adam
百問不煩	adaq
原碼	adar
礫石	adas
碑石	adas
原路	adat
不得不	adau
跳躍	adav
百聞不如一見	adaw
跳轉	adbb
跳車	adbj
原車	adbj
跳蚤	adbk
原屬	adbn
原由	adby
跳高	adcg
原初	adcm
原始	adcn
厦門市	adcp
碑亭	adcx
跳出	addd
止回閥	adde
步行街	addh
原裝	addh
原狀	addi
原圖	addl
原因	addo
原片	addp
不出所料	addq
原版	addr
跳閘	addv
原漿	addw
原作	adeg
原位	adeg
願你	adeh
不得已	adei
不得而知	adej
原爲	adek
百鳥爭鳴	adel
百舸爭流	aden
跳進	adeo
不得已而爲之	adeo
不得已而為之	adeo
破門而入	adeu
原件	adey
原價	adey
碑拓	adfa
百般挑剔	adfj
跳投	adfl
原型	adfs
原形	adfs
原籍	adgb
原貌	adgd
不學無術	adgd
原産	adgg
願意	adgj
原意	adgj
原載	adgk
百鳥朝鳳	adgl
厲行節約	adgo
原系	adgo
跳舞	adgs
厚德載物	adgy
原址	adha
原產	adha
原聲	adhb
原文	adhe
碑文	adhe
原色	adhe
跳起	adhe
原封	adhh
原地	adhj
跑圓場	adhj
跳越	adhk
原名	adhl
跳臺	adhl
跳遠	adhl
碑刻	adhm
願望	adhw
原定	adif
原審	adig
敷衍塞責	adih
原宥	adii
不復存在	adii
碑身	adis
原在	adiu
原有	adiw
蹤影	adjc
願景	adjc
原是	adjf
原因是	adjf
歪門邪道	adjq
原理	adjv
不得了	adke
百兒八十	adkg
原主	adkj
敷衍了事	adkk
原為	adkk
跨國公司	adkt
原子	adkz
原職	adlg
原唱	adlj
原單	adll
原味	adln
原委	admc
原稿	admc
原種	admm
不關痛癢	admm
不徇私情	admr
跳動	admv
原廠	admv
原油	adnb
原液	adnc
跳海	adng
跳台	adnl
跳梁	adnm
不間斷	adnn
齒白脣紅	adno
齒白唇紅	adno
跳水	adns
礦泉水	adns
跳河	adnx
跳繩	adob
厦門大學	adod
跳線	adod
跳級	adoe
不白之冤	adoh
原紙	adok
礫岩	adpa
原陽	adpj
跳幀	adpp
原處	adpt
原罪	adpu
原義	adqg
原料	adqi
原判	adqj
原糧	adqj
不得善終	adqo
原煤	adqs
原創	adrk
跳馬	adrm
跳傘	adrr
不得人心	adrr
原藥	adsd
原著	adsh
百般刁難	adts
原棉	adud
原本	aduf
肯德基	aduh
原材	aduk
原來	adul
跳樓	adul
原木	adum
原機	adun
原樣	aduq
跳板	adur
跳槽	adus
碑林	aduu
跳棋	aduu
原想	aduw
原野	advk
原點	advp
原田	advt
原包	adwe
原則	adwm
原諒	adxc
原話	adxm
跳過	adxo
原訴	adxr
